npm_mahasiswa,jenis_semester,tahun_semester,kode_kelas,kode_matkul,nama_matkul,sks_matakuliah,total_hadir,total_pertemuan,total_terlaksana,total_tidak_hadir,kode_nilai,kategori_matakuliah
1931007,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931007,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931007,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931007,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931007,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931007,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931007,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931007,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,B,Website Making
1931007,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931008,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931008,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931008,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931008,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931008,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931008,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931008,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931008,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931008,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931008,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931009,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931009,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931009,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931009,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931009,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931009,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931009,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931009,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931009,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931009,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931010,ganjil,2019,1SIMB,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931010,ganjil,2019,1SIMB,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931010,ganjil,2019,1SIMB,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931010,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931010,ganjil,2019,1SIMB,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931010,ganjil,2019,1SIMB,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,B,Website Making
1931010,ganjil,2019,1SIMB,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931010,ganjil,2019,1SIMB,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931010,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931010,ganjil,2019,1SIMB,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931012,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931012,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931012,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931012,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931012,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931012,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931012,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931012,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931012,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931012,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931013,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931013,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931013,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931013,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931013,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931013,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931013,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931013,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931013,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931013,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931014,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931014,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931014,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931014,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931014,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931014,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931014,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931014,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931014,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931014,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931016,ganjil,2019,1TUPA,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931016,ganjil,2019,1SIPA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931016,ganjil,2019,1SIPA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931016,ganjil,2019,1SIPA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931016,ganjil,2019,1SIPA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931016,ganjil,2019,1SIPA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931016,ganjil,2019,1SIPA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931016,ganjil,2019,1ISMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931016,ganjil,2019,1SIPA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931016,ganjil,2019,1SIPA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931017,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931017,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931017,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,A,Bahasa
1931017,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931017,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931017,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931017,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931017,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931017,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931017,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931018,ganjil,2019,1KRMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931018,ganjil,2019,1SIMB,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931018,ganjil,2019,1VUMD,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931018,ganjil,2019,1SIMB,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931018,ganjil,2019,1SIMB,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931018,ganjil,2019,1SIMB,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931018,ganjil,2019,1SIMB,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931018,ganjil,2019,1SIMB,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931018,ganjil,2019,1SIMB,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931018,ganjil,2019,1SIMB,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931019,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931019,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931019,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931019,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931019,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931019,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931019,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931019,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931019,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931019,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931020,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931020,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931020,ganjil,2019,1TUMF,SI00192,Bahasa Inggris I,2,0,0,0,0,C,Bahasa
1931020,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931020,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931020,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931020,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931020,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931020,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931020,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931021,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931021,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931021,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931021,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931021,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931021,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931021,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931021,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931021,ganjil,2019,1BUMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931021,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931023,ganjil,2019,1ISMA,SI00194,Agama,2,0,0,0,0,E,Agama
1931023,ganjil,2019,1SIMB,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,C,Computer Hardware
1931023,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,D,Bahasa
1931023,ganjil,2019,1SIMB,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931023,ganjil,2019,1SIMB,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931023,ganjil,2019,1SIMB,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931023,ganjil,2019,1SIMB,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,C,Design
1931023,ganjil,2019,1SIMB,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,B,Website Making
1931023,ganjil,2019,1SIMB,SI00159,Perancangan Situs Web,3,0,0,0,0,B,Website Making
1931023,ganjil,2019,1SIMB,SI00123,Desain Interaksi,3,0,0,0,0,C,Design
1931024,ganjil,2019,1KRMB,SI00194,Agama,2,0,0,0,0,B,Agama
1931024,ganjil,2019,1SIMB,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931024,ganjil,2019,1VUME,SI00192,Bahasa Inggris I,2,0,0,0,0,C,Bahasa
1931024,ganjil,2019,1SIMB,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931024,ganjil,2019,1SIMB,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931024,ganjil,2019,1SIMB,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931024,ganjil,2019,1SIMB,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931024,ganjil,2019,1SIMB,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931024,ganjil,2019,1SIMB,SI00159,Perancangan Situs Web,3,0,0,0,0,A,Website Making
1931024,ganjil,2019,1SIMB,SI00123,Desain Interaksi,3,0,0,0,0,B,Design
1931025,ganjil,2019,1ISMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931025,ganjil,2019,1SIMA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931025,ganjil,2019,1TUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931025,ganjil,2019,1SIMA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,B,Basic Programming
1931025,ganjil,2019,1SIMA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931025,ganjil,2019,1SIMA,SI00152,Teknik Pemograman,3,0,0,0,0,B,Basic Programming
1931025,ganjil,2019,1SIMA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931025,ganjil,2019,1SIMA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931025,ganjil,2019,1SIMA,SI00159,Perancangan Situs Web,3,0,0,0,0,B,Website Making
1931025,ganjil,2019,1SIMA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931026,ganjil,2019,1ISMA,SI00194,Agama,2,0,0,0,0,E,Agama
1931026,ganjil,2019,1SIPA,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931026,ganjil,2019,1TUPA,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931026,ganjil,2019,1SIPA,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931026,ganjil,2019,1SIPA,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931026,ganjil,2019,1SIPA,SI00152,Teknik Pemograman,3,0,0,0,0,B,Basic Programming
1931026,ganjil,2019,1SIPA,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931026,ganjil,2019,1SIPA,SIL0091,Lab. Perancangan Situs Web,1,0,0,0,0,A,Website Making
1931026,ganjil,2019,1SIPA,SI00159,Perancangan Situs Web,3,0,0,0,0,B,Website Making
1931026,ganjil,2019,1SIPA,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931027,ganjil,2019,1BUMB,SI00194,Agama,2,0,0,0,0,A,Agama
1931027,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931027,ganjil,2019,1VUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931027,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931027,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931027,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,A,Manajemen
1931027,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931027,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931027,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931027,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931028,ganjil,2019,1BUMB,SI00194,Agama,2,0,0,0,0,A,Agama
1931028,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931028,ganjil,2019,1VUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931028,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931028,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931028,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931028,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931028,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931028,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931028,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931029,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,B,Design
1931029,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931029,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931029,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931029,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931029,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931029,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931029,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
1931029,ganjil,2019,1TUMF,SI00192,Bahasa Inggris I,2,0,0,0,0,C,Bahasa
1931029,ganjil,2019,1ISMA,SI00194,Agama,2,0,0,0,0,A,Agama
1931030,ganjil,2019,1SIMC,SIL0117,Lab. Desain Interaksi,1,0,0,0,0,A,Design
1931030,ganjil,2019,1SIMC,SI00123,Desain Interaksi,3,0,0,0,0,A,Design
1931030,ganjil,2019,1SIMC,SIL0087,Lab. Sistem Multimedia,1,0,0,0,0,A,Multimedia
1931030,ganjil,2019,1SIMC,SI00191,Sistem Multimedia,3,0,0,0,0,A,Multimedia
1931030,ganjil,2019,1SIMC,SI00151,Pengantar Sistem Informasi,3,0,0,0,0,B,Manajemen
1931030,ganjil,2019,1SIMC,SI00152,Teknik Pemograman,3,0,0,0,0,A,Basic Programming
1931030,ganjil,2019,1SIMC,SIL0085,Lab. Teknik Pemograman,1,0,0,0,0,A,Basic Programming
1931030,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,A,Computer Hardware
1931030,ganjil,2019,1VUME,SI00192,Bahasa Inggris I,2,0,0,0,0,B,Bahasa
1931030,ganjil,2019,1BUMB,SI00194,Agama,2,0,0,0,0,A,Agama
1931031,ganjil,2019,1BUMB,SI00194,Agama,2,0,0,0,0,A,Agama
1931031,ganjil,2019,1SIMC,SI00153,Arsitektur dan Organisasi Komputer,3,0,0,0,0,B,Computer Hardware
