npm,bank_id,nama_kegiatan,tingkat_kegiatan,tanggal_kegiatan
1931038,6510,"Webinar Nasional ""Series IT Impact on Society : Impact on Professional Society""",national,12/12/2020
1931095,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
1931003,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931095,10371,"Webinar Nasional ""The A-Z Bazaar and Event Organizers""",national,11/29/2020
1931038,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
1931095,10386,"Webinar Nasional ""Yuk, Belajar Digital Marketing""",national,09/25/2020
1931095,6121,Perpajakan Indonesia di Era Teknologi dan Keterbukaan Informasi Keuangan,national,12/19/2020
1931095,2025,"1 Jam Pelatihan Online ""Tetap Terhubung Dengan Pelanggan Anda Melalui Google Bisnisku""",national,12/17/2020
2031122,11501,Seminar Daring Nasional : Produktif dan Berprestasi untuk Meraih Kesuksesan Masa Depan,national,01/03/2021
2031122,11502,Webinar Disrupsi Literasi Digital Di Perpustakaan,national,12/18/2020
2031122,11503,Seminar Daring Nasional : Berkarya untuk Bangsa melalui Karya Kepenulisan,national,12/28/2020
2031059,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
2031059,10527,"Webinar Nasional Memperingati Hari Kesehatan Mental Sedunia ""Mahasiswa Berjiwa Sehat, Bermental Kuat""",national,10/10/2020
2031059,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031059,4430,Kompetisi Pekan Seni Mahasiswa Tahun 2020 Perwakilan dari Universitas Internasional Batam,national,11/24/2020
1931117,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931117,8600,Unit Kegiatan Mahasiswa Agama Buddha Universitas Internasional Batam Periode 2019/2020,lokal,08/27/2020
2031065,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931013,1994,"Welcoming UIB Freshmen Program 2019/2020 ""Creativity and Social Impact: Doing Something in Digital Era!""",lokal,08/28/2020
2031051,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931129,2227,Pengurus UKM Agama Buddha Periode 2017/2018,lokal,08/27/2020
1931008,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931095,1851,Students Webinar : Social Innovation and Entrepreneurship 2020,international,10/06/2020
1931173,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931140,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931109,1994,"Welcoming UIB Freshmen Program 2019/2020 ""Creativity and Social Impact: Doing Something in Digital Era!""",lokal,08/28/2020
2031016,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
2031016,1228,Workshop #hidup100persen dalam rangka Lomba Video Kreatif Dengan Kearifan Lokal,national,11/03/2020
1931054,6510,"Webinar Nasional ""Series IT Impact on Society : Impact on Professional Society""",national,12/12/2020
1931054,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
1931054,9951,Webinar Internasional Eksistensi Sastra Arab di Masa Pandemi,international,12/02/2020
1931152,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931095,11529,"Online Discussion ""Pengen #BelajarBerkebun, tapi....",national,09/20/2020
1931095,11527,"Seminar Online Youth For NKRI ""Pemuda Bergerak Sebagai Pahlawan dalam Menghadapi Tantangan Bangsa""",national,12/19/2020
1931095,11526,"Webinar KOMODOKOE ""Raising Awareness for Future Indonesian Generations to save Komodo, Our National Treasure""",national,12/14/2020
1931095,11525,Webinar Transforming the Future with Blockchain Technology,national,12/10/2020
1931054,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931095,11524,Webinar Unleash Your Public Speaking Superpowers,national,12/12/2020
1931095,11523,"Acara ""Batara Lintak Toraja""",national,12/12/2020
1931095,11544,"Event ""Berkebun Online (Vol. 2)""",national,12/13/2020
1931095,11543,"Webinar : ""Career Prospects in 2021 Vol.2: Be Work-Ready with the Right Skils""",national,01/19/2021
1931095,11542,"Webinar Kejar Mimpi Talks 2.0 Palembang ""Jadi Relawan? Emang se-Keren itu!""",national,12/19/2020
1931095,11541,Webinar Kolaborasi Fashion K-Pop Style Tanpa Menghilangkan Budaya Indonesia,national,12/19/2020
1931095,11540,"Webinar MAXIMUS ""Maximizing Your Social Media""",national,12/19/2020
1931095,11539,"Seminar Nasional Online ""Peningkatan Penyalahgunaan Narkoba di Masa Pandemi""",national,12/20/2020
1931095,11538,"Ngobrol Akhir Bulan Webinar by Forum Berkarya ""Tahun Baru, Bisnis Baru""",national,12/20/2020
1931095,11509,"Webinar ""Facing The Truth About Business For Youth Generation""",national,12/19/2020
1931095,6121,Perpajakan Indonesia di Era Teknologi dan Keterbukaan Informasi Keuangan,national,12/19/2020
1931095,11532,"Universal Eco Pasific Webinar : Sosialisasi Festronik Dalam Pengelolaan Limbah B3""",national,12/12/2020
1931095,11531,Hospitality and Tourism Business Dapurtalk Webinar,national,12/05/2020
1931095,11530,MIPA Leadership and Development Program 2.0 Finding Inner Peace During Quarter Life Crisis,national,12/12/2020
1931054,6735,"Seminar Daring Nasional ""Pentingnya Asupan Nutrisi dalam Membangun Potensi Diri""",national,12/05/2020
1931054,10370,"Webinar ""Terjemahan Bahasa Jepang di Masa Lalu, Masa Sekarang, dan Masa Yang Akan Datang""",national,12/11/2020
1931169,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931006,11557,"Webinar Series #6 : Profesi Hukum Itu, Asyik! ""Bincang Seru dengan Notaris""",lokal,01/16/2021
1931006,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931006,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
1931006,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",lokal,12/05/2020
1931144,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,12/13/2020
1931144,8798,"Webinar ""Peranan dan Implikasi Teknologi Informasi dalam Akuntansi dan Manajemen""",lokal,11/04/2020
1931087,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
1931073,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,01/24/2021
2031013,11611,"Webinar ""Peran Artificial Intelligence Dalam Mendorong Industri 4.0 dan Society 5.0""",national,01/14/2021
2031013,11613,"Webinar ""Strategi Mengelola Bisnis Digital Bagi UMKM Menyongsong Revolusi Industri 4.0 dan Society 5.0""",national,01/18/2021
2031009,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031009,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
1931003,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031091,1052,FGBMFI Goes to Campus 2020 What`s Next : Success after Campus,national,12/18/2020
2031091,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
2031091,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031091,8992,"Webinar ""Inovasi Desain Teknologi Wahana Angkut ALPO (Anjungan Lepas Pantai Pasca Operasi) Guna Mendukung Kemajuan Teknologi Lepas Pantai Indonesia",national,12/01/2020
2031091,7966,"SI-KLIK #6 Webminar ""Indonesia Sea as Global Climate Engine""",national,11/30/2020
1931095,1879,Listening and Reading Official Institutional Score Report (ETS TOEIC),international,12/05/2020
1931113,1994,"Welcoming UIB Freshmen Program 2019/2020 ""Creativity and Social Impact: Doing Something in Digital Era!""",lokal,08/28/2020
1931113,8048,Sosialisasi Hidup Berdampingan dengan Amblesan Tanah di Pantura Jawa Tengah Geologi Sebagai Acuan Mitigasi dan Adaptasi dalam Penataan Ruang,national,12/01/2020
1931113,6884,Seminar International Career Preparation Glints,lokal,02/27/2020
1931113,6588,"Seminar ""Transformasi Digital dan Implementasi Pembelajaran Menghadapi Revolusi Industri 4.0""",lokal,12/06/2019
2031012,5905,Pemilihan Kepala Daerah 2020,provinsi,12/09/2020
2031012,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
2031005,11736,Students Webinar: Joint Research for Industrial Design,international,01/15/2021
2031156,2024,"1 Jam Pelatihan Online ""Perluas Kehadiran Online Anda dengan Strategi Bisnis yang Tepat""",national,11/06/2020
2031156,11259,Webinar: Penyebab Hilangnya Sopan Santun di Era Globalisasi,national,10/14/2020
2031156,6669,"Seminar Bisnis Anak Muda ""Millenial Mandiri Finansial"" (03 Oktober 2020)",national,10/03/2020
2031156,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031091,11736,Students Webinar: Joint Research for Industrial Design,international,01/15/2021
2031132,3132,Entrepreneurship Awards IV 2020,provinsi,12/02/2020
2031122,1739,Microsoft Technology Associate - System Development Fundamental (Quadra Luminary),international,01/24/2021
2031122,11736,Students Webinar: Joint Research for Industrial Design,international,01/15/2021
2031008,2257,Artution`s Inktober 2020,lokal,10/05/2020
2031008,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
2031008,10346,"Webinar Nasional ""Series IT Impact on Society : Impact on Personal Life""",national,12/05/2020
2031108,8279,"Techminar ""Content Marketing World""",national,11/17/2020
2031108,11736,Students Webinar: Joint Research for Industrial Design,international,01/15/2021
2031076,13403,Webinar Pengembangan Kepribadian Digital Literacy,lokal,06/30/2021
2031076,13155,Webinar Pengembangan Kepribadian Problem Solving,lokal,06/28/2021
2031076,13154,"Webinar Pengembangan Kepribadian ""Consumer Centricity""",lokal,06/23/2021
2031076,13129,Webinar Pengembangan Kepribadian Attitude,lokal,06/16/2021
2031076,13128,Webinar Pengembangan Kepribadian Professionalism,lokal,06/14/2021
2031076,13068,Webinar Pengembangan Kepribadian Communication,lokal,06/09/2021
2031076,13153,Webinar Pengembangan Kepribadian Teamwork and Collaboration,lokal,06/21/2021
2031076,13404,Webinar Pengembangan Kepribadian Workplace Awareness,lokal,06/12/2021
2031076,13395,Sosialisasi Nacospro 2021: Sustainable Community Empowerment Program for Development Recovery During The Covid-19 Pandemic,national,08/25/2021
2031076,11810,"Welcoming UIB Freshmen Program 2020/2021 ""Be G.R.E.A.T in New Normal Life"" Grateful, Responsible, Empathy, Active, Thoughtful""",lokal,08/01/2021
2031076,14619,"Webinar Cybersecurity Mahasiswa TI UIB Detect, Prevent and Protect Phishing Attack",lokal,10/30/2021
2031156,14895,"Course ""BC400 - Introduction to the ABAP Workbench"" (Edugate)",international,08/29/2021
1931144,13236,"Startup Competition ""Open World 2021""",lokal,04/29/2021
2131012,15041,Webinar Memperingati Hari Bela Negara 2021 Peran Mahasiswa dalam Menjaga Kesatuan dan Persatuan Bangsa,lokal,12/18/2021
2131012,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2031140,15070,"Kompetisi Kanji Nasional ""Japan Total Festival: Isshoni Tanoshimimashou 16""",national,11/13/2021
2031096,13069,Vaksinasi Covid-19,lokal,09/01/2021
1931099,14579,"Webinar Series #2 ""What Can I Do?"" How to Survive As A Freelance Photographer UKM Grafity",lokal,11/06/2021
1931099,14919,"Webinar Series #3 ""What Can I Do?"" Importance of Video Workflow UKM Grafity",lokal,11/27/2021
1931099,14920,"Webinar Series #4 ""What Can I Do?"" How to Avoid Plagiarismn in Your Design UKM Grafity",lokal,12/04/2021
1931099,14606,International Joint Webinar: Idealized Cultural Value for Sustainable Development Collaboration between UIB & KMUTT,international,11/08/2021
1931099,14619,"Webinar Cybersecurity Mahasiswa TI UIB Detect, Prevent and Protect Phishing Attack",lokal,10/30/2021
1931099,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
1931099,14571,UIB Virtual Job Fair 2021 Webinar: Softskill yang Diperlukan di Dunia Industry Era 4.0,lokal,11/03/2021
1931099,14590,UIB Virtual Job Fair 2021 Webinar : Kupas Tuntas UU Ketenagakerjaan,national,11/04/2021
1931099,14591,"UIB Virtual Job Fair 2021 Talkshow : ""Sharing Pengalaman MBKM oleh Mahasiswa dan Alumni""",national,11/04/2021
1931099,14537,"Webinar ""How to Write a Research Article for Publication""",lokal,11/03/2021
1931099,14592,Webinar Cerdas dalam Menentukan Strategi Berinvestasi,lokal,11/11/2021
1931099,15042,"Webinar Tax Goes to Campus Tahun 2021 Generasi Muda Sadar Pajak, Wujud Bela Negara",lokal,11/11/2021
1931099,15047,"Webinar Nasional ""Kebijakan Hukum E-Commerce dalam Mengoptimalkan Pemasaran Secara Digital""",national,11/28/2021
1931099,14972,"Webinar Nasional ""Ecosystem Management: Empowering Plastic-Free Generation 2021""",national,11/28/2021
1931099,14987,"Webinar ""Correlation of Business Intelligence and the Future of Business Strategy""",lokal,12/03/2021
1931099,15000,"Webinar ""Enterprise Digital Transformation: Best Practice in Corporation""",lokal,12/10/2021
2131148,15006,"Webinar Nasional Mahasiswa Berkarakter ""Pencegahan Penggunaan Narkoba dan Pemutusan Rantai Penularan HIV/AIDS""",national,12/11/2021
2131148,15000,"Webinar ""Enterprise Digital Transformation: Best Practice in Corporation""",lokal,12/10/2021
1931085,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131018,14984,"Webinar Nasional ""Cybersecurity 101: Things You Need to Know about Malwares""",national,12/12/2021
2031005,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
1931200,8368,The Fundamentals of Digital Marketing Certification (Google Digital Garage),international,01/06/2022
2131148,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131148,14987,"Webinar ""Correlation of Business Intelligence and the Future of Business Strategy""",lokal,12/03/2021
2031008,13967,"Jurnal Pengabdian kepada Masyarakat Vol. 4, No. 1, Juli 2021, ISSN 2621-6434",national,07/01/2021
2031008,16343,Prosiding National Conference for Community Service Project (NaCosPro) Volume 3 Nomor 1 Edisi Agustus 2021 E-ISSN: 2714-8599,national,09/10/2021
2031008,13615,Onboarding Pelaksanaan Program MBKM di Universitas Internasional Batam pada Semester Ganjil Tahun Akademik 2021/2022,lokal,09/02/2021
2031016,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2031016,14984,"Webinar Nasional ""Cybersecurity 101: Things You Need to Know about Malwares""",national,12/12/2021
2131057,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131057,15006,"Webinar Nasional Mahasiswa Berkarakter ""Pencegahan Penggunaan Narkoba dan Pemutusan Rantai Penularan HIV/AIDS""",national,12/11/2021
2131057,15041,Webinar Memperingati Hari Bela Negara 2021 Peran Mahasiswa dalam Menjaga Kesatuan dan Persatuan Bangsa,lokal,12/18/2021
1931154,14710,Pergurus Himpunan Mahasiswa Program Studi Sistem Informasi Universitas Internasional Batam Periode 2020/2021,lokal,09/01/2021
1931154,14206,"Webinar Video Game Development: Between Creative, Technical and Business",lokal,10/08/2021
1931154,4199,"Kegiatan ""Sosialisasi dan Penandatangan Kerja Sama MBKM"" (Peresmian Implementasi Kebijakan MBKM di Lingkungan Universitas Internasional Batam)",lokal,11/30/2020
1931154,13756,Literasi Digital Nasional; Indonesia Makin Cakap Digital dengan tema: Menjaga Keamanan Digital Anak-Anak,national,09/15/2021
1931154,13907,"Webinar ""Business Acumen and How to Attain It as a Student""",lokal,09/24/2021
1931118,15000,"Webinar ""Enterprise Digital Transformation: Best Practice in Corporation""",lokal,12/10/2021
1931118,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
1931118,14923,Final Presentation Joint Supervision Project,international,12/03/2021
2131141,14919,"Webinar Series #3 ""What Can I Do?"" Importance of Video Workflow UKM Grafity",lokal,11/27/2021
2131141,14619,"Webinar Cybersecurity Mahasiswa TI UIB Detect, Prevent and Protect Phishing Attack",lokal,11/30/2021
2131141,14571,UIB Virtual Job Fair 2021 Webinar: Softskill yang Diperlukan di Dunia Industry Era 4.0,national,11/03/2021
2131141,14590,UIB Virtual Job Fair 2021 Webinar : Kupas Tuntas UU Ketenagakerjaan,national,11/04/2021
2131141,14620,UIB Virtual Job Fair 2021 Webinar : Sukses Interview Kerja dan Psikotes,national,11/03/2021
2131141,14591,"UIB Virtual Job Fair 2021 Talkshow : ""Sharing Pengalaman MBKM oleh Mahasiswa dan Alumni""",national,11/04/2021
1931101,13069,Vaksinasi Covid-19,lokal,07/07/2021
2031076,14544,"Webinar ""Information System Project Management: Agile Approach""",lokal,10/22/2021
2031076,14206,"Webinar Video Game Development: Between Creative, Technical and Business",lokal,10/08/2021
1931101,1994,"Welcoming UIB Freshmen Program 2019/2020 ""Creativity and Social Impact: Doing Something in Digital Era!""",lokal,08/28/2020
1931154,15102,Gerakan Nasional 1000 Startup Digital - Hacksprint Batam sesi 1,national,11/20/2021
1931154,15103,Gerakan Nasional 1000 Startup Digital - Hacksprint Day 2,national,11/27/2021
1931154,15104,Gerakan Nasional 1000 Startup Digital - Bootcamp Batam day 1,national,12/04/2021
1931154,15105,Gerakan Nasional 1000 Startup Digital - Bootcamp Batam day 2,national,12/05/2021
1931154,15106,Gerakan Nasional 1000 Startup Digital - Pitching Session Batam,national,12/11/2021
2031104,13068,Webinar Pengembangan Kepribadian Communication,lokal,06/09/2021
2131106,14972,"Webinar Nasional ""Ecosystem Management: Empowering Plastic-Free Generation 2021""",national,11/28/2021
2031132,13129,Webinar Pengembangan Kepribadian Attitude,lokal,06/16/2021
2031132,13155,Webinar Pengembangan Kepribadian Problem Solving,lokal,06/28/2021
2031132,13154,"Webinar Pengembangan Kepribadian ""Consumer Centricity""",lokal,06/23/2021
2031132,13128,Webinar Pengembangan Kepribadian Professionalism,lokal,06/14/2021
2031132,13153,Webinar Pengembangan Kepribadian Teamwork and Collaboration,lokal,06/21/2021
2131061,14984,"Webinar Nasional ""Cybersecurity 101: Things You Need to Know about Malwares""",national,12/12/2021
2131128,14830,Webinar Transformasi Digital di Masa Pandemi Covid-19 dengan Cisco Academy,lokal,11/20/2021
2131128,15047,"Webinar Nasional ""Kebijakan Hukum E-Commerce dalam Mengoptimalkan Pemasaran Secara Digital""",national,11/28/2021
2131128,14972,"Webinar Nasional ""Ecosystem Management: Empowering Plastic-Free Generation 2021""",national,11/28/2021
2131128,14987,"Webinar ""Correlation of Business Intelligence and the Future of Business Strategy""",lokal,12/03/2021
2131128,15000,"Webinar ""Enterprise Digital Transformation: Best Practice in Corporation""",lokal,12/10/2021
2131128,15006,"Webinar Nasional Mahasiswa Berkarakter ""Pencegahan Penggunaan Narkoba dan Pemutusan Rantai Penularan HIV/AIDS""",national,12/11/2021
2131128,15041,Webinar Memperingati Hari Bela Negara 2021 Peran Mahasiswa dalam Menjaga Kesatuan dan Persatuan Bangsa,lokal,12/18/2021
2131128,14919,"Webinar Series #3 ""What Can I Do?"" Importance of Video Workflow UKM Grafity",lokal,11/27/2021
1931101,2172,"Aksesku ""Keuangan Digital""",lokal,10/13/2020
2131128,14920,"Webinar Series #4 ""What Can I Do?"" How to Avoid Plagiarismn in Your Design UKM Grafity",lokal,12/04/2021
1931101,2173,"Aksessku ""Keluarga Cerdas Keuangan""",lokal,10/14/2020
1931101,2174,"Aksessku ""UMKM Kepri Bangkit""",lokal,10/15/2020
1931101,7320,"Seminar Online ""Mengenal Karakter Diri dan Orang Lain"" Oleh Komunitas RUMAH Entrepreneur",national,07/08/2020
1931101,10267,"Webinar Nasional ""Memperjuangkan Hak Tenaga Kesehatan ke MK : Perkara 36/PUU-VII/2020""",national,05/27/2020
1931101,3738,"National Webinar 2020 Interactive Dialogue and Question-Answer on Public Notary Law ""Prinsip Pelaksanaan Jabatan Notaris/PPAT dalam Pembuatan Akta-Akta Perbankan di Tengah Pandemi COVID-19""",national,05/16/2020
1931101,7364,"Seminar Online , "" Filantropi Di Kalangan Milenial """,national,06/11/2020
1931101,10399,Webinar Nasional : Kebijakan Kementerian ATR/BPN Dalam Layanan Pertanahan Di Masa COVID-19,national,06/25/2020
1931101,5463,"Online Webinar ""Tackling Plastic Waste Issue During COVID-19""",national,03/21/2020
1931101,5240,"National Webinar ""Interactive Dialogue and Question-Answer on Constitutional Law""Mencermati Perampingan Lembaga dan Komisi Negara di Tengah Pandemik Covid-19""",national,07/19/2020
1931101,3735,"National Webinar 2020 Interactive Dialogue and Question-Answer On Electoral Law and Political Parties ""Nasib Pelaksanaan Pilkada Serentak Di Tengah Pandemik Covid-19.""",national,07/04/2020
1931101,6864,Seminar Importance of IT Certifications in Industrial Revolution 4.0 bersama Cisco Networking Academy,lokal,04/17/2020
1931101,6588,"Seminar ""Transformasi Digital dan Implementasi Pembelajaran Menghadapi Revolusi Industri 4.0""",lokal,12/06/2019
1931101,2369,Webinar Becoming Smart Student in The Era of Smart Factory Digitalization Industry Perspective,lokal,02/28/2020
1931101,4895,Computer Science Faculty Gathering Night 2019: MICROSOFT (Making Inspirational Creator and Remarkable Organization with Software),lokal,10/12/2019
1931101,1851,Students Webinar : Social Innovation and Entrepreneurship 2020,lokal,10/06/2020
1931101,12214,Sertifikasi Agile Scrum Fundamentals (ASF) (Quints Redwood Wellington),international,01/24/2021
1931101,14544,"Webinar ""Information System Project Management: Agile Approach""",lokal,10/22/2021
1931101,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131139,14987,"Webinar ""Correlation of Business Intelligence and the Future of Business Strategy""",lokal,12/03/2021
2131139,14972,"Webinar Nasional ""Ecosystem Management: Empowering Plastic-Free Generation 2021""",national,11/28/2021
2131139,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131139,14984,"Webinar Nasional ""Cybersecurity 101: Things You Need to Know about Malwares""",national,12/12/2021
2131139,15041,Webinar Memperingati Hari Bela Negara 2021 Peran Mahasiswa dalam Menjaga Kesatuan dan Persatuan Bangsa,lokal,12/18/2021
2131139,15006,"Webinar Nasional Mahasiswa Berkarakter ""Pencegahan Penggunaan Narkoba dan Pemutusan Rantai Penularan HIV/AIDS""",national,12/11/2021
2131139,14920,"Webinar Series #4 ""What Can I Do?"" How to Avoid Plagiarismn in Your Design UKM Grafity",lokal,12/04/2021
2131139,14919,"Webinar Series #3 ""What Can I Do?"" Importance of Video Workflow UKM Grafity",lokal,11/17/2021
2131139,14823,"Dhamma Talk Nasional 2021 ""Giving: The Practice of Letting Go""",national,11/07/2021
2131139,15000,"Webinar ""Enterprise Digital Transformation: Best Practice in Corporation""",lokal,12/10/2021
2131106,15006,"Webinar Nasional Mahasiswa Berkarakter ""Pencegahan Penggunaan Narkoba dan Pemutusan Rantai Penularan HIV/AIDS""",lokal,12/11/2021
2131106,14984,"Webinar Nasional ""Cybersecurity 101: Things You Need to Know about Malwares""",national,12/12/2021
2131106,15047,"Webinar Nasional ""Kebijakan Hukum E-Commerce dalam Mengoptimalkan Pemasaran Secara Digital""",national,11/28/2021
1931161,3735,"National Webinar 2020 Interactive Dialogue and Question-Answer On Electoral Law and Political Parties ""Nasib Pelaksanaan Pilkada Serentak Di Tengah Pandemik Covid-19.""",national,07/04/2020
1931161,2369,Webinar Becoming Smart Student in The Era of Smart Factory Digitalization Industry Perspective,lokal,02/28/2020
1931161,10399,Webinar Nasional : Kebijakan Kementerian ATR/BPN Dalam Layanan Pertanahan Di Masa COVID-19,national,06/25/2020
1931161,3214,Filantropi di Kalangan Milenial,national,06/11/2020
1931161,3738,"National Webinar 2020 Interactive Dialogue and Question-Answer on Public Notary Law ""Prinsip Pelaksanaan Jabatan Notaris/PPAT dalam Pembuatan Akta-Akta Perbankan di Tengah Pandemi COVID-19""",national,05/16/2020
1931161,10267,"Webinar Nasional ""Memperjuangkan Hak Tenaga Kesehatan ke MK : Perkara 36/PUU-VII/2020""",national,05/27/2020
2031096,14206,"Webinar Video Game Development: Between Creative, Technical and Business",lokal,10/08/2021
2031096,13907,"Webinar ""Business Acumen and How to Attain It as a Student""",lokal,09/24/2021
2031096,14544,"Webinar ""Information System Project Management: Agile Approach""",lokal,10/22/2021
2131033,15125,"Wander English Episode #1 ""Writing 101: How to Nail Your English Writing""",national,12/18/2021
2131033,15044,"Webinar ""Video Game Design dengan Mindset Edukasi""",lokal,11/12/2021
2131030,14578,"Webinar Series #1 ""What Can I Do?"" ""How to Incorporate Social Media Management to Private and Professional Account"" UKM Grafity UIB",lokal,10/30/2021
2131030,14579,"Webinar Series #2 ""What Can I Do?"" How to Survive As A Freelance Photographer UKM Grafity",lokal,11/06/2021
2131030,14919,"Webinar Series #3 ""What Can I Do?"" Importance of Video Workflow UKM Grafity",lokal,11/27/2021
2131030,14920,"Webinar Series #4 ""What Can I Do?"" How to Avoid Plagiarismn in Your Design UKM Grafity",lokal,12/04/2021
